@relation areasdeconocimiento

@attribute sexo {F,M}
@attribute edad numeric
@attribute ingenieria numeric
@attribute realistic numeric
@attribute investigativo numeric
@attribute artistic numeric
@attribute social numeric
@attribute emprendedor numeric
@attribute convencional numeric
@data
M,16,0,10.5,16,19,17.5,18.5,18
M,17,0,16,20.5,20,19.5,22.5,23.5
F,14,0,3,11,17.5,9,10,16.5
M,16,0,14,15,15.5,16,16,15
M,14,0,11.5,13,14.5,17,18,16.5
F,14,0,1,8,13,11,13.5,12
F,14,0,3.5,7.5,11.5,6.5,6,11.5
M,18,0,13.5,21.5,26,21.5,17.5,11.5
M,13,0,12,19.5,28,26.5,25.5,27
F,16,0,7,12.5,19.5,13.5,5,9
F,14,0,14.5,14.5,14.5,14.5,14.5,14.5
M,13,0,1,1.5,1,3,4.5,2.5
F,15,0,21,23,26.5,22,19.5,21
M,13,0,5.5,6.5,7.5,6,5.5,8.5
F,13,0,3.5,11,14.5,14.5,22,19
M,17,0,3.5,4.5,7,11.5,12.5,13.5
F,16,0,10.5,16,20,17,19.5,20.5
M,12,0,14,15,20,16.5,9,6.5
F,15,0,13.5,18,26.5,22.5,19,24
F,14,0,14.5,14.5,14.5,14.5,15.5,15.5
M,17,1,20,21.5,25,26,24.5,18.5
M,14,0,1.5,3.5,4.5,11,21.5,16
M,14,0,19,21.5,25.5,21.5,15.5,18
M,16,0,24,24.5,24.5,23.5,24,25
M,13,0,7,12,19,16.5,14,15
F,17,0,25.5,27.5,28,28,28,26
M,18,0,22,22,22,21,20.5,20
F,18,0,2.5,3,3,2.5,7.5,8
M,15,0,6.5,5.5,7.5,8.5,9,10.5
M,16,0,9.5,14,12,7,10.5,13
M,17,1,14.5,15.5,17,19.5,17,12
M,16,0,13,19,26,18,14.5,10
M,18,0,6,10,15,11.5,6.5,4.5
M,17,1,18.5,13.5,15.5,19,17,18.5
M,18,0,11.5,13,11,12.5,12.5,11
M,19,1,12,10,9.5,11.5,7.5,5
F,17,0,4,10.5,17.5,17.5,15,16.5
M,16,1,13.5,12.5,11,12.5,14.5,15.5
F,13,0,20,24.5,28.5,28,27,24.5
F,12,0,18,25.5,26,25.5,25,27
F,14,0,13.5,20,27.5,26,25,26.5
M,14,0,4,9,17.5,18.5,20.5,15.5
M,13,0,13.5,19.5,26,20.5,17,14
M,12,1,4.5,7.5,16.5,18.5,15,7.5
F,13,0,5.5,9,14.5,15,21,19.5
F,13,0,17,21.5,28,29,29,29
F,13,0,23.5,27,29,25,19.5,18.5
M,12,1,4.5,12.5,17.5,12.5,13.5,10.5
M,12,0,8.5,16,25,24,21.5,22.5
F,14,0,17,22.5,26,24.5,23.5,26
M,14,0,10,15.5,21.5,18.5,13,11
F,13,0,21.5,24,23.5,23,25,26.5
F,12,0,9.5,16,27.5,27,28,27
F,14,0,11,12,13.5,14,20,24
F,13,0,2,7,14,10.5,5.5,11.5
F,13,0,1.5,5.5,8,3.5,1,8
M,14,1,7.5,14,25.5,20.5,13,9.5
F,15,0,4.5,10.5,22,19,17.5,21
M,16,0,4,11.5,16,10.5,4,2
M,16,1,6.5,10,18.5,15,6,2.5
F,18,0,3,10.5,17.5,9.5,2,11
M,16,0,3,4.5,4.5,4.5,4.5,5
M,17,0,8,7.5,8,9,11,13
M,17,0,7,12,20,22,23.5,21
F,17,0,21,26,26.5,25,20.5,23
M,16,0,6,11,16,18.5,21.5,18
F,16,0,4.5,8.5,12.5,13.5,15,12.5
F,15,0,2,7,16.5,20.5,22.5,15
M,17,0,1,1,1,3.5,11,17
F,15,0,12,15.5,16.5,17.5,19,19
F,17,1,2,15,27,19,6,2
F,15,1,5,16.5,24.5,16.5,8,6.5
M,17,0,27,27.5,26,25.5,25.5,27.5
F,15,0,7,13,23,21,18,10.5
M,12,0,2,7.5,13,18,24,16.5
F,13,0,15,21.5,27,25,21,21.5
M,13,0,5,5,5,5.5,4,10.5
M,12,1,16.5,23,28,24,16,15.5
M,16,1,4.5,12,18,23.5,26,18
M,12,1,25.5,28.5,28,28,27.5,26
F,14,0,14.5,23,28.5,27,25,26
M,13,1,17,22,28.5,26.5,26,27.5
M,14,0,6,9.5,14.5,9.5,7.5,6.5
F,13,0,4.5,14.5,25.5,16.5,8.5,8.5
M,14,0,5.5,9,13,8.5,8.5,12.5
F,13,0,0.5,5.5,8.5,3,1.5,2.5
F,12,0,20,21.5,24.5,27,28,24.5
M,12,0,7.5,4,4,10,11,4
M,14,0,4.5,3.5,3.5,3,2,2
F,13,0,5,15,26.5,19,11.5,17
M,14,0,2,4,6,3.5,5.5,6.5
F,14,0,17,20.5,26.5,25.5,25.5,25.5
M,13,1,0.5,2.5,3,0.5,0,0
M,15,0,2,3,4,6,9.5,7.5
F,14,0,23.5,22.5,22,21,20.5,23
M,19,1,7,21,20,16,6,1
F,17,1,3,18,7,22,2,9
F,18,1,6,3,17,0,12,21
F,18,0,1,19,3,6,3,3
F,18,0,3,16,10,15,1,0
M,17,1,3,0,1,2,4,1
F,18,0,22,23,18,23,14,10
F,16,0,1,17,3,20,3,1
